Title,Title_link,salary,tag-list,tag-list1,job-area,info-public,Thumbnail,company-name,company-tag-list,company-tag-list1,tag-list2,tag-list3,info-desc,company-tag-list2,tag-list4,tag-list5,tag-list6,Headline,Field1,Field2,Field3
Python,https://www.zhipin.com/job_detail/025a8b909b07a79c1Hx62N29ElpR.html?lid=5VqE11lZkaq.search.29&securityId=dPbsj0eW9wrDO--1cIJ6RMjx9A56FsB2AfY6XFt-KAEn7Do81zyR8cO43ZnLj6JBJpIlncWXcGmf6HP94Lu93S6NtzstbXcE7AFAd8kpUp0p-zYm&sessionId=,23-29K,Python,3-5年,上海·浦东新区·张江,蔡女士交付主管,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20170713/e50f2074d19fa48c8b7b5f9bbb5d826231743dbf9dab0b418d3e229a031b8245.jpg?x-oss-process=image/resize,w_100,limit_0",北京宜通,通信/网络设备,已上市,MySQL,openstack,结婚贺金，交通补助，生育子女贺金，节日福利，加班补助，定期体检，年终奖，五险一金，通讯补贴，生日贺金，长期服务奖，带薪年假,1000-9999人,Neturon组件开发,组件开发,,Python,"MySQL
                                    组件开发
                                    openstack
                                    Neturon组件开发
                                    Python",技术要求：是有Python2.7到Python3 的升级经验， 熟悉 openstack/neturon 的人员，熟悉neturon组件，有过neturon组件开发经验英文要求：能书写英文，能做简单的英语沟通就可以工作描述： Cloud network的一个netforce的组件， 其组件是run在neturon上的， 我们需要这位同学可以先做python 2.7到3的升级， 之后decouple neturon.,北京宜通华瑞科技有限公司成立于 2006 年 8月，是宜通世纪科技有限公司（ 股票代码：300310）的控股子公司，是一家在中国居领先地位的通信技术服务提供商及系统集成商，是爱立信公司在华第一家技术服务类的合作企业，在爱立信通信服务领域中位居中国及东北亚区第一。北京宜通在交换工程、网络优化及咨询、电信管理服务等领域积累了丰富的行业经验，具备全面的通信专业服务能力，为客户提供通信网络建设、通信网络服务以及专业产品研发等一系列整体解决方案，帮助客户实现投资收益最大化，并使之更专注于自身核心业务。      北京宜通将总部设在北京，并在西安、济南、南京、武汉、大连、哈尔滨、重庆设有分支机构，为客户提供全方位的实时服务。       北京宜通华瑞科技有限公司注重企业文化建设，注重人才梯队培养与发展，建立了一整套科学的人才管理体系。公司把 “ 百年大计，人才为本 ” 作为公司的人力资源理念，广纳企业所需的各类优秀人才，尽力为其创造一个和谐、富有灵感，充满激情的工作环境和生活环境。    公司尊崇以人为本的宗旨，把人视为公司的第一资本，是公司最宝贵的财富，重视人才并重视培养和发展人才。为此，我们致力于实现员工的职业发展，我们提供：全面的技术培训和管理知识培训系统的素质提升教育公平的绩效管理评估有规划的技术职位晋升和管理职位晋升关于薪酬福利     北京宜通华瑞科技有限公司为了吸引和留住最优秀的人才，提供在同行业中具有竞争力的薪酬福利待遇。同时在公司内部我们有科学与公正的机制，使表现优秀的员工得到相应的回报。为此，我们提供：每年一次的调薪机会基于企业及个人业绩的年终奖金全面的社会保险（养老、失业、工伤、生育、医疗）及住房公积金周全的各项补贴（如通讯补贴、出差补贴、节日补贴等）带薪年休假每年一度的身体健康检查丰富多彩的业余生活（健身、体育比赛、户外活动等）差旅交通、住宿报销
Python,https://www.zhipin.com/job_detail/b5475aa0f6898e271nVy09q7E1FV.html?lid=5VqE11lZkaq.search.30&securityId=6zdC6inOY7cmy--1TdV3OfGaGKON7Q7naVZSdbKnMI9Dny0fD9jKUPy3wtz3gdnNDTIH0S_ef0eUfY4ybnIh_3_obvPCLvA5KS7Gi9e_ZXdMZ3VLcw~~&sessionId=,15-25K,人工智能,1-3年,上海·浦东新区·三林,蒋先生智能连接信息服务部,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20180206/4caf6d13a393adbf57fb1a42546c495f2f711c2eed8e12506617010b2feed695.jpg?x-oss-process=image/resize,w_100,limit_0",电信号百,广告营销,不需要融资,大数据,数据挖掘,交通补助，餐补，加班补助，五险一金，年终奖，免费班车,500-999人,Python,,,Python,"人工智能
                                    大数据
                                    数据挖掘
                                    Python","岗位工作职责:1、需求分析：对号百灰库产品逻辑和数据处理流程标准化、提出改进建议及其他需求分析工作。2、方案设计： 明确所需数据及必要的特征、明确所需模型及技术实现步骤、进行方案设计的汇报等工作。3、建模开发： 宽表开发及数据预处理、模型基线开发及训练、评估模型和标签上线发布、等开发工作。4、试点验证：效果验证、试点汇报等工作处理5、总结汇报：发布运营报告、收集需求迭代开发。 任职要求1.计算机、统计、数学、专业研究生及以上学历2对大数据生态有较好认识，具备spark, hive, hadoop, kafka, sqoop等大数据组件开发、调优经验。3 良好的数据敏感度，为人耐心细致，工作认真，有求知欲，具敬业精神、沟通能力和团队合作精神4 能运用Python等统计分析语言或其他工具者同等条件下优先",号百信息服务有限公司是中国电信集团全资子公司。公司基于最具公信力的号码信息资源、最权威的企业数据和最大发行量的黄页号簿等优势，广泛汇聚海量的信息需求和优质合作资源，深度打造信息内容，开创信息服务产业的新篇章，核心打造智能名片、住家会员服务、跨屏媒体投放等。
Python,https://www.zhipin.com/job_detail/1a48657f092f66120HB_09u9F1Q~.html?lid=5VqE11lZkaq.search.31&securityId=GtHz1g-1Ug6zu-I1eshKZEE5ViUrZGR6rPrhhNtIbn0VHbYPY-_15OcTf_QFiQRvkZkRvjW4nwqdW6DxhEQx4Vw4vr6-6_ME5j-lM54ser63Nv4~&sessionId=,15-30K·14薪,Python,1年以内,上海·浦东新区·金桥,徐先生软件工程师,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20170407/e6a14e190f467455f48c850ec835ec290b8e4144bb3cfe0ff348c95cc876b511.jpg?x-oss-process=image/resize,w_100,limit_0",华为技术有限公司,计算机软件,不需要融资,Java,JavaScript,定期体检，全勤奖，离职补偿，通讯补贴，年终奖，团建聚餐，法定节假日三薪，补充医疗保险，节日福利，住房补贴，加班补助，节假日加班费，保底工资，零食下午茶，员工旅游，五险一金，交通补助，带薪年假，股票期权，绩效奖金,10000人以上,C++,,,Python,"Python
                                    Java
                                    JavaScript
                                    C++",精通C++/Java/Python/JS等编程语音承担软件需求分析，设计，编码开发，静态检查，单元测试等工作，高质量完成交付,"华为是谁？华为创立于1987年，是全球领先的ICT（信息与通信）基础设施和智能终端提供商。目前华为约有19.7万员工，业务遍及170多个国家和地区，服务全球30多亿人口。华为致力于把数字世界带入每个人、每个家庭、每个组织，构建万物互联的智能世界：让无处不在的联接，成为人人平等的权利，成为智能世界的前提和基础；为世界提供最强算力，让云无处不在，让智能无所不及；所有的行业和组织，因强大的数字平台而变得敏捷、高效、生机勃勃；通过AI重新定义体验，让消费者在家居、出行、办公、影音娱乐、运动健康等全场景获得极致的个性化智慧体验。谁拥有华为？华为是一家100%由员工持有的民营企业。华为通过工会实行员工持股计划，参与人数为121,269人，参与人仅为公司员工，没有任何政府部门、机构持有华为股权。谁控制华为？华为拥有完善的内部治理架构，实行独立经营管理。持股员工选举产生持股员工代表会，持股员工代表会及其选举产生的公司董事会、监事会对公司重大事项进行决策、管理和监督。持股员工选举产生115名持股员工代表，持股员工代表会选举产生董事长和16名董事，董事会选举产生4名副董事长和3名常务董事，轮值董事长由3名副董事长担任。轮值董事长以轮值方式主持公司董事会和常务董事会。董事会行使公司战略与经营管理决策权，是公司战略、经营管理和客户满意度的最高责任机构。董事长主持持股员工代表会。持股员工代表会是公司最高权力机构，对利润分配增资和董事监事选举等重大事项进行决策。谁影响华为？华为对外依靠客户与合作伙伴，坚持以客户为中心，通过创新的产品为客户创造价值；对内依靠努力奋斗的员工，以奋斗者为本，让有贡献者得到合理回报；并与合作伙伴、产业组织、开源社区、标准组织、大学、研究机构等构建共赢的生态圈，推动技术进步和产业发展；我们遵从业务所在国适用的法律法规，为当地社会创造就业、带来税收贡献、使能数字化，并与政府、媒体等保持开放沟通。"
Python,https://www.zhipin.com/job_detail/2f5f2528a8d647391Xx-3Ny-FVU~.html?lid=5VqE11lZkaq.search.32&securityId=PPWTrNH4nc_mV-P1sdRaxO2hffhPga68D2bGrVbFcC2_1nrbsiTggvqYxbOTrLmyWzSgTm1x6Sak35ClkN6pHDUVFXAk6V_ZfMx1jDVSBbj81Xui&sessionId=,20-35K,后端开发,1-3年,上海·浦东新区·康桥,张先生hr,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",花楸树科技,移动互联网,0-20人,Python,,,,,,,Python,"后端开发
                                    Python","岗位职责：1.完成python后端服务设计和研发。2.设计、实现和维护后台管理配置系统。3.负责高并发场景下服务器性能调优工作。4.负责知识库的设计、实现和维护。工作要求：1.本科以上学历，计算机相关专业。2.精通python，有三年以上开发经验。3.熟练应用django、MySQL和MongoDB构建后台服务。4.能够合理设计sdk和后台接口协议。有完整项目设计能力和实践经验。5.熟练使用jieba、pandas、matplotlib等库处理文本数据，了解sklearn、keras更佳。6.能够主动发现问题，优化性能，处理高并发场景下后台服务。7.熟悉常用的数据结构, 有扎实的计算机基础。有nlp相关经验优先。8.了解前端基本知识。有实际项目经验者优先。",
Python,https://www.zhipin.com/job_detail/71acc6a3426c30051HRy2ti0E1NW.html?lid=5VqE11lZkaq.search.33&securityId=6H6iAFdUuc-9l-11Ziu_srQBPoios9drqm5e1WV3EGZ-jv_mkQYGLhpNJ_QPvbxixuLB1aSJxCDeD7lNnlO7Elu6zgOJfjd7jaLYX6rQdSyA3J343j_z&sessionId=,25-35K·15薪,后端,3-5年,上海·徐汇区·漕河泾,张先生招聘者,"https://img.bosszhipin.com/beijin/upload/com/workfeel/20220322/7bf6f160950405e9fdee8fefec852a2012a9c62f64ad2bfefb08fa4eff935bb0d871dbc0d820419b.jpg?x-oss-process=image/resize,w_100,limit_0",宁波草船科技有限公司,计算机服务,天使轮,Python,Java,定期体检，零食下午茶，带薪年假，股票期权，五险一金，交通补助，年终奖,20-99人,计算机相关专业,,,Python,"后端
                                    Python
                                    Java
                                    计算机相关专业","职责描述：1. 负责公司软件系统的研发，测试，运维。2. 协同第三方团队完成部分功能的外部接口。3. 积极为解决方案工程师提供支持。任职要求：（高级头衔可谈）1. 熟练掌握至少1门编程语言（C++, go, java, python），熟悉分布式、缓存、消息队列、多线程等机制，熟悉数据库的基本操作； 2. 熟练掌握linux操作系统，对常用命令运用娴熟，能够根据实际需要快速编写shell脚本；3. 熟练掌握常用的算法和数据结构； 4. 有较强的团队协作精神；5. 熟悉Devops，docker/k8s, 机器学习，有云服务使用经验优先；6. 计算机软件或相关专业优先。如果具备大厂核心产品组的工作经验或重度参与过有一定用户使用量的互联网产品的研发，我们认为你大概率能胜任并且会喜欢这份工作。麻烦投递之前先评估一下自身的需要和职位的要求，谢谢。",我们是2022年成立的初创公司，业务方向为工业垂直赛道的大模型应用和相关场景落地，涵盖质量检测，生产过程智能防错，重要装备和系统智能参数控制优化，产线人工智能优化等。已经服务诸如上海中烟、TCL、苏泊尔、7412工厂等央国企、大型民营企业和军工企业，累计项目金额数千万元。核心成员来自脸书，华为，字节跳动，拼多多等。目前在宁波鄞州区和上海闵行区都有办公场所。以下是我们的一些早期荣誉：2022年3月获金沙江创投领投数百万美金天使轮融资2022年10月获中国科技挑战赛宁波地区优胜奖（9个竞争团队中名列**）2022年11月获中国“互联网+”创业大赛国际赛道金奖和本科初创组名列**2023年3月获顺为资本领投数百万美金pre-A轮融资2023年10月获宁波市政府高层次人才项目认定和预期数千万元经费2024年3月获浙江省高层次人才项目认定公司业务发展迅速，目前在寻找团队成员，积极参与到制造业+大模型的开拓中来。如果你自认为具备极强的责任心和学习能力，且认为我们做的事情非常吸引你，我们会为你匹配具备竞争力的薪资并诚邀你的加入。如果对于我们开放的任何岗位感兴趣，请在投递简历的过程中通过一段话（不超过100字）简单描述一下你的背景以及你觉得可以为草船科技带来的贡献。我们将后续安排面试。
Python,https://www.zhipin.com/job_detail/bcb5427c47fa5bf81HJ_3tu9FldT.html?lid=5VqE11lZkaq.search.34&securityId=omR7JB9lFdcc7-h1ohORrUUok1PyP1Ym1fMDZWWVVsz1EdzYkUgLstzJUG82sM_Iqa2U-i1vPVL-yGtZqm_H8uXJJsR9iCbNmrTuNOUgNfvAc3IdbEkI&sessionId=,15-25K,Python,3-5年,上海·虹口区·曲阳,孙女士市场与BD总监,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",上海舵正帆满信息技术,人工智能,未融资,PyTorch,Docker,定期体检，五险一金,0-20人,MySQL,云计算经验,机器学习经验,Python,"PyTorch
                                    Docker
                                    MySQL
                                    机器学习经验
                                    云计算经验
                                    Python","About Us:We are a leading technology firm specializing in innovative solutions and services. Our commitment to excellence and innovation has positioned us as a key player in the industry. We are currently seeking a highly skilled and experienced Senior Python Developer to join our dynamic team. The ideal candidate will be instrumental in driving our projects from concept to deployment, ensuring high-quality software solutions that meet our business needs. Please send your CV to **************-ai.comKey Responsibilities:- Design, develop, and implement high-quality software solutions in Python, adhering to best practices in coding standards. - Demonstrate expertise in Python programming and its frameworks, with a strong preference for experience in FastAPI. - Work closely with front-end technologies to ensure seamless integration and optimal functionality of applications. - Develop scalable and efficient code, with a keen eye for spotting and resolving performance issues. - Manage database operations, including design, modification, and maintenance, ensuring data integrity and security. - Utilize version control tools, such as Git, to manage codebase changes effectively. - Participate in the full software development life cycle, from planning and design to testing, deployment, and maintenance. - Collaborate with cross-functional teams, including project managers, designers, and other developers, to achieve project objectives and deliverables on time. - Stay abreast of emerging technologies and industry trends, continuously improving skills and knowledge. - Contribute to the development of technical documentation and user guides. Essential Skills and Qualifications:- Bachelor’s degree in Computer Science, Engineering, or a related field. - Minimum of 3 years of experience in Python development, with a proven track record of successful projects. - Strong understanding of Python and its frameworks, especially FastAPI. - Experience with front-end technologies and the ability to work closely with front-end developers. - Proficiency in developing scalable and efficient code. - Solid understanding of database management principles and experience with database technologies. - Expertise in version control tools, particularly Git. - Familiarity with the software development life cycle and agile methodologies. - Excellent problem-solving skills and the ability to work in a team-oriented, collaborative environment. Preferred Experience:- Knowledge of Langchain and LlamaIndex is a significant plus. - Experience in deploying applications in a cloud environment(Azure). - Familiarity with containerization and orchestration technologies, such as Docker and Kubernetes.",
python,https://www.zhipin.com/job_detail/21f4d46fc9b9f40b1Hx53tq_EVRT.html?lid=5VqE11lZkaq.search.35&securityId=uJ3Mum7MkeWIs-d1ayytZBDYq5fZPVFvZJWp3jQZrCxGX56ihizX6NelR9BD0GJVdr5PxgwHcjaMsgcONuRrRGHdvb-mEpNOcWYBA9a_bkr5YnJ_axfaiX1Pb79_58oYQLoViXa6UqLDPNGoFGNkhzsT&sessionId=,16-22K,Scrapy,3-5年,上海·青浦区·赵巷,丛先生项目总监,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",华玮佳,装修装饰,20-99人,电子,电力,,,仿真,Spark,Python,python,"Scrapy
                                    电子
                                    电力
                                    仿真
                                    Spark
                                    Python
                                    Flask",工作内容：有电力电子背景，了解半实物仿真者优先（1）负责对数据集进行分析和处理，包括数据采样、清洗、特征工程和数据配比等；（2）负责研发数据质量评估算子，监控数据质量，及时发现和纠正数据问题；（3）负责设计和执行仿真实验，收集实验数据，分析实验结果，验证数据质量对模型效果的影响；（4）负责开发后端服务接口，支持大规模数据处理需求；（5）负责利用Python进行自动化测试；岗位要求：（1）计算机、数学或相关专业，本科及以上学历，2年及以上Python开发相关工作经验；（2）熟练掌握 Python 编程语言，具有良好的编程习惯和风格；（3）熟悉数据分析、数据处理相关库，如Pandas、NumPy、Scikit-learn等；（4）熟悉Flask框架，能够熟练进行接口开发和维护；（5）熟悉大数据处理框架，如Hadoop、Spark等，了解其原理和使用方法；（6）了解深度学习相关框架，如PyTorch、TensorFlow等，有SFT生成和筛选相关项目经验者优先；（7）具备良好的团队合作精神和沟通协调能力；,
python,https://www.zhipin.com/job_detail/f2867cdbc00caf8b0X150tq0E1o~.html?lid=5VqE11lZkaq.search.36&securityId=MZXU81Soiuwr0-v1vtma808pUCOKAxzlNye8xDkkt_xMm4mbT90wK3crttgXCQOposQfQxiGlhMCl5xwjCJUvfz2U5h9zIHZLjbMgTueuoJJtVuW&sessionId=,15-30K,Python,3-5年,上海·浦东新区·金杨,卢女士经理,"https://img.bosszhipin.com/beijin/app/mobile/normal-0e3f1e4441a21d4874cece3a3d81f0fe.png?x-oss-process=image/resize,w_100,limit_0",深圳彗亿科技电子,电子商务,20-99人,安全开发,安全厂商,,,,,,python,"Python
                                    安全开发
                                    安全厂商",1、必须是统招全日制本科及以上学历，2年及以上python工作经验；2、独立完成后台服务功能模块的设计与开发；3、配合团队其他成员进行模块开发及整合；4、维护所负责的服务模块，并不断持续优化功能系统；5、确保所负责的服务模块能够达到产品要求的质量标准,
Python,https://www.zhipin.com/job_detail/7d90f4561082bc611HVz39i6FFtW.html?lid=5VqE11lZkaq.search.37&securityId=GdRnJGRp4Wljr-X1Ci_dyb6Hw8Hnlqd6i7pcpN60LPsGW1skX7eWSSVUQIG3NAvuKcZUuEZ-tV8DVOGjcT7aKU1dCwyxx5fDCzVJ8q12vJAWW7wEqEg~&sessionId=,12-24K,Python,1-3年,上海·徐汇区·康健,徐先生总监,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",帝魁网络,互联网,20-99人,PyTorch,TensorFlow,五险一金，年终奖，带薪年假,,MySQL,MongoDB,,Python,"PyTorch
                                    MySQL
                                    MongoDB
                                    Python
                                    TensorFlow",开发AI相关web应用，熟悉FastApi,
Python,https://www.zhipin.com/job_detail/0621541e9ea8f4771XZ809i8F1JV.html?lid=5VqE11lZkaq.search.38&securityId=nXK9QXWkqduai-S1nNwvlBacK2agK-Iaq8_EvCX3vV5t_zDM_Vs3QrEy3v49iWlVOh3D3tO0zr5FXBjmclH9q7Dys88wSxBhV3CwyBPE_2Ge_OD4Gps~&sessionId=,15-25K,Go,1-3年,上海·长宁区·北新泾,黄女士人力资源经理,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20190108/79fad8f5e5839ad374747298091ad17ccfcd208495d565ef66e7dff9f98764da.jpg?x-oss-process=image/resize,w_100,limit_0",华斧网络科技（上...,企业服务,天使轮,容器技术,虚拟机技术,零食下午茶，定期体检，年终奖，五险一金，股票期权,20-99人,Linux,,,Python,"Go
                                    容器技术
                                    虚拟机技术
                                    Linux","云平台研发工程师 职位信息1. 负责私有云及混合云平台的设计, 部署和优化完善;2. 负责私有云及混合云网络及跨云互联网络的设计, 部署和优化完善;3. 负责云平台虚拟路由器的设计和开发;4. 负责云平台监控告警系统的设计和开发;岗位要求：1. 计算机通信类相关专业本科及以上学历, 两年及以上相关工作经验;2. 熟悉OpenStack, Docker等主流云服务架构;3. 熟悉虚拟化技术如KVM, QEMU, Libvirt, Open vSwitch等;4. 熟悉网络交换技术, 如OSPF, BGP等协议;5. 熟悉Linux, 了解Linux中的常见网络功能, 如Netfilter, TC, 路由管理等;6. 具有Python, GoLang语言开发能力;7. 英语水平良好。","华斧网络科技（上海）有限公司成立于2017年6月，是中国拥有自有研发团队与专利技术的 SD-WAN 智能广域网平台服务提供商。我们于2017年发布了全球第一款面对企业客户,网络运营商以及网络优化和网络安全方案提供商的基于SDN/NFV架构的“build-in” 智能广域网平台 Aeolus ，Aeolus 通过网络虚拟化技术把网络资源（物理链路）以及网络优化和安全的软件方案整合，企业客户只需登陆到Aeolus就能订购以及实施企业所需的广域网方案。通过在技术和商业模式上的持续创新，我们致力于成为全球企业广域网的首选平台服务提供商。"
Python,https://www.zhipin.com/job_detail/43d0858b705195d41Hx53Nq8FlNU.html?lid=5VqE11lZkaq.search.39&securityId=iJfAZotAKS0M_-S1ztRPYVw0Q-UMV-AmF9FnvxLFj2dr7QMDZaKTxmTPrX1_MJWZj5Zg6d9KAEUgmjeoh0xjYNMOnYFHFtwhUiAmStPWKrdprCHRuDY~&sessionId=,30-60K,Java,10年以上,上海·虹口区·四川北路,丁先生HR,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20181124/b05c2615af2241b8721baeec27c7e3b7203df6cac4df749e502e08e495739d0b.jpg?x-oss-process=image/resize,w_100,limit_0",首阳智能,计算机软件,A轮,SQL,分布式技术,,20-99人,容器技术,,,Python,"Java
                                    SQL
                                    分布式技术
                                    容器技术",量化交易策略开发系统搭建,首阳智能因“日出之初，首光必及”而得名，定位于量化投资领域的智能投顾服务商。是一家由复旦大学、上海财经大学、华盛顿大学以及同济大学等著名高校计算机、金融等专业的校友发起，以区块链、人工智能、大数据与云计算等技术为基础的量化投资机构，主要服务于股票、期货、期权与数字货币等领域的二级市场投资。避免人工交易过程中由于情绪波动带来的非理性决策行为所导致的负面影响，同时利用计算机的无休眠、高频等优势，发掘能够产出大概率的超额收益的交易方式，帮助客户赚取低风险与稳定的高收益。         以人工智能与大数据为依据，利用计算机技术，为股票、期货、期权与数字货币等领域的客户提供程序化交易的模型、数据库、风控及预警。以自主研发的行业数据分析工具，通过整合梳理海量基础数据的内在关联性，可自主对影响交易资产价格的驱动因素进行分析，获得决策支持。结合相关宏观经济数据，真实、全面的展现企业运营状以及产业发展趋势，为资本市场的投资决策及科研机构提供权威的参考资料。       Pre-A轮估值1.2亿，第一轮风投投资1200万。4个月后启动A轮融资！
Python,https://www.zhipin.com/job_detail/75ed378b7eeede621nV-0929ElRZ.html?lid=5VqE11lZkaq.search.40&securityId=ysAp-ypcr89il-J1GreiM4jZeE73WHCcKvgaFgtPhD5ry1j-IVlUZwrCLhsd4p1_VJPSMU19Be521bQ_483xk6WeqE-VryDC_8Yx4ET-cQUglHtk&sessionId=,25-50K·13薪,Python,3-5年,上海·闵行区·吴泾,程先生SDE,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20191209/5c04e94b467cd73a2ba4c7e971122431d76f2a72b6ccd4fc8957ce7770f20599_s.jpg?x-oss-process=image/resize,w_100,limit_0",微软,互联网,未融资,云计算,,员工旅游，产假，培训费，零食下午茶，节日福利，年终奖，健身费，股票期权，带薪年假，补充医疗保险，五险一金，餐补,10000人以上,,,,Python,"Python
                                    云计算","Do you want to be at the center of Cloud Computing? Azure is growing faster than ever and DevDiv China teams charter is to enable developers to unleash the power of Microsoft’s cloud platforms. Join us if you are a strong developer interested in working on azure service, developer experience and gaining hands-on experience with all of the Azure services.   We’re a collaborative team working closely with service teams in Azure and our goal is to provide the best user experience to all Azure developers in the world. We are working on an Azure service to empower our developer to be able to build end-to-end solution across multiple Azure services much easier. You will have the opportunity to experience the whole life cycle of building an Azure service from scratch as well as working on different areas from backend to frontend/CLIs using different cutting-edge technologies.     We are also heavily engaged with Azure community on Github! Being part of this team will give you the opportunity to work with Microsoft and Non-Microsoft technologies. We are a fast-growing team and are looking for members to join our engineering family with strong relevant experience in cloud services. If you’re passionate about developer experience and experienced in cloud service, then we have some interesting things for you here.   Last but really important to note: There’s a lot of job postings out there that focus on building GREAT products for our customers and taking care of them and we can assure you that we have the same passion, but what our team and leadership is heavily focused on as well is our teams members, AKA = “YOU”! As a team member we are committed to ensure that you have a great inclusive working environment, a flexible and healthy work life balance and building what is hopefully long term working relationship at Microsoft!",微软公司
Python,https://www.zhipin.com/job_detail/d11193e00bd3b8703nxy3N-9GFE~.html?lid=5VqE11lZkaq.search.41&securityId=NzcoUjyR_Y_lL-x16NJJAquag30xJUdz9PQQW26rJDH0G0G70TL6s-082nBRj6WpACUvEZtCxoCeudxwNCYAlWWt8nEZqHDlbt4y4zfvdA7s&sessionId=,15-30K·15薪,Python,1-3年,上海·长宁区·淞虹路,陶先生安全开发工程师,"https://img.bosszhipin.com/beijin/upload/com/logo/20230406/7b5b554d84f9729c3942b1ebd5976c6b89a511c5ab83ca6f35c0417ffdf79f80469b299937d6f41b.png?x-oss-process=image/resize,w_100,limit_0",携程旅行网,互联网,已上市,分布式技术,搜索引擎技术,员工旅游，免费班车，年终奖，绩效奖金，定期体检，零食下午茶，五险一金，股票期权，绩效奖金，节日福利，团建聚餐，带薪年假，工龄奖，生日福利，餐补,10000人以上,Web端,Redis,NoSQL,Python,"Python
                                    分布式技术
                                    搜索引擎技术
                                    Web端
                                    Redis
                                    NoSQL
                                    MongoDB
                                    Django","职位描述  参与公司各类安全产品（如安全监控、漏洞管理、安全运营等系统或平台）研发和维护工作任职要求1. 精通Python，1年以上开发经验， 熟悉PEP8编程规范，了解Restful设计风格， 拥有良好的编程习惯2. 熟悉python Web开发框架如Flask，Tornado, Django等3. 了解分布式存储、搜索、异步框架、消息中间件等技术4. 熟悉MySQL,MongoDB,Redis等数据库，有使用 Elastic Search, Spark 等数据处理经验者加分5. 有安全产品相关系统架构、设计、开发经验者加分6. 有良好的沟通能力、优秀的解决问题能力者加分","Trip.com Group Limited (Nasdaq: TCOM) is a leading one-stop travel service provider consisting of Trip.com, Ctrip, Skyscanner, and Qunar. Across its platforms, Trip.com Group enables local partners and travelers around the world to make informed and cost-effective bookings for travel products and services, through aggregation of comprehensive travel-related information and resources, and an advanced transaction platform consisting of mobile apps, Internet websites, and 24/7 customer service centers. Founded in 1999 and listed on Nasdaq in 2003, Trip.com Group has become one of the largest travel companies in the world in terms of gross merchandise value. 携程集团（纳斯达克股票代码：TCOM）是一家领先的在线旅游服务提供商，旗下品牌包括Tirp.com，携程，天巡和去哪儿。携程集团能够整合复杂的旅游相关信息并通过其先进的移动端app，网站以及24小时无间断的免费客户服务中心提供旅游产品预订和服务，帮助商务和休闲游用户获取信息，降低成本。携程集团自1999年成立、2003年纳斯达克上市以来发展迅速，已经成为全球最大的旅游服务提供商之一"
